aspect,B11,B12,B2,B3,B4,B8,bd_0-5,bd_15-30,bd_5-15,bsi,cec_0-5,cec_15-30,cec_5-15,clay_0-5,clay_15-30,clay_5-15,dem,evi,ndmi,ndvi,ph_0-5,ph_15-30,ph_5-15,sand_0-5,sand_15-30,sand_5-15,savi,silt_0-5,silt_15-30,silt_5-15,slope,soc_0-5,soc_15-30,soc_5-15,tpi,tri,worldcover,x,y
120.0,2772.9387,1957.2374,590.4181,849.61945,1007.1923,2536.862,138.0,138.0,137.0,0.0915742,216.0,215.0,213.0,241.0,356.0,263.0,878.0,0.28485954,-0.045389306,0.43827617,66.0,66.0,66.0,511.0,426.0,492.0,0.27984828,247.0,218.0,245.0,4.0,18.0,8.0,10.0,2.5,2.2222223,40.0,768941.6094531971,1457717.9670111313
93.0,2313.6116,1514.0905,482.99274,724.32477,757.7403,2446.754,135.0,135.0,133.0,0.027533654,206.0,206.0,202.0,239.0,344.0,262.0,870.0,0.32491973,0.02008994,0.51304084,64.0,64.0,64.0,491.0,413.0,471.0,0.31249985,242.0,215.0,239.0,3.0,17.0,7.0,9.0,-0.875,5.4444447,20.0,769191.7557263334,1457717.9670111313
118.0,2422.9785,1675.5922,492.51752,689.4963,793.6833,1989.2567,0.0,0.0,0.0,0.12795971,0.0,0.0,0.0,0.0,0.0,0.0,862.0,0.23628293,-0.098720364,0.42312127,0.0,0.0,0.0,0.0,0.0,0.0,0.23541535,0.0,0.0,0.0,3.0,0.0,0.0,0.0,-2.75,4.4444447,20.0,769441.9019994696,1457717.9670111313
175.0,1906.5763,1267.9149,461.44583,615.4418,671.6292,1498.9983,0.0,0.0,0.0,0.12746812,0.0,0.0,0.0,0.0,0.0,0.0,859.0,0.16962738,-0.112980984,0.3284309,0.0,0.0,0.0,0.0,0.0,0.0,0.1687934,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-1.5,1.3333334,20.0,769692.0482726059,1457717.9670111313
193.0,1274.5447,884.92615,423.0129,533.1518,561.3575,977.9332,0.0,0.0,0.0,0.12446104,0.0,0.0,0.0,0.0,0.0,0.0,859.0,0.08847464,-0.13617578,0.17424226,0.0,0.0,0.0,0.0,0.0,0.0,0.08844552,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.25,0.22222222,20.0,769942.1945457421,1457717.9670111313
191.0,1091.5859,797.1722,396.4634,492.927,481.31696,811.9286,0.0,0.0,0.0,0.13922298,0.0,0.0,0.0,0.0,0.0,0.0,859.0,0.07329258,-0.17577864,0.17558812,0.0,0.0,0.0,0.0,0.0,0.0,0.07296317,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.375,0.33333334,20.0,770192.3408188784,1457717.9670111313
157.0,1157.5701,935.33875,423.6017,503.69418,509.78174,673.0612,18.0,18.0,18.0,0.21349612,28.0,27.0,26.0,32.0,47.0,34.0,859.0,0.03737919,-0.2868674,0.09221452,9.0,9.0,9.0,69.0,58.0,68.0,0.037096478,33.0,29.0,33.0,2.0,2.0,1.0,1.0,0.375,0.33333334,20.0,770442.4870920145,1457717.9670111313
206.0,1621.9176,1182.3926,434.71848,562.273,598.84784,1248.0449,138.0,138.0,137.0,0.16350345,211.0,200.0,195.0,235.0,348.0,252.0,859.0,0.12671292,-0.19958259,0.22152963,65.0,65.0,65.0,518.0,436.0,504.0,0.1246356,246.0,216.0,244.0,3.0,19.0,8.0,13.0,-2.375,2.3333333,20.0,770692.6333651508,1457717.9670111313
210.0,2666.7913,1783.7783,511.42642,744.8424,878.65234,2430.593,138.0,138.0,137.0,0.078769006,203.0,191.0,186.0,233.0,350.0,252.0,867.0,0.28476995,-0.036864668,0.47737545,65.0,65.0,65.0,521.0,436.0,506.0,0.28257388,246.0,214.0,243.0,4.0,18.0,8.0,12.0,2.125,4.3333335,10.0,770942.779638287,1457717.9670111313
222.0,3685.4573,2603.2568,715.1475,1025.5028,1344.467,2873.031,138.0,139.0,137.0,0.16258855,196.0,187.0,181.0,236.0,349.0,255.0,871.0,0.24777079,-0.11991245,0.3687829,65.0,65.0,65.0,522.0,439.0,505.0,0.250009,243.0,213.0,240.0,3.0,18.0,7.0,12.0,0.125,3.6666667,40.0,771192.9259114233,1457717.9670111313
